budget,original_language,popularity,revenue,vote_average
0,237000000,en,150.437577,2787965087,7.2
1,300000000,en,139.082615,961000000,6.9
2,245000000,en,107.376788,880674609,6.3
3,250000000,en,112.31295,1084939099,7.6
4,260000000,en,43.926995,284139100,6.1
5,258000000,en,115.699814,890871626,5.9
6,260000000,en,48.681969,591794936,7.4
7,280000000,en,134.279229,1405403694,7.3
8,250000000,en,98.885637,933959197,7.4
9,250000000,en,155.790452,873260194,5.7
10,270000000,en,57.925623,391081192,5.4
11,200000000,en,107.928811,586090727,6.1
12,200000000,en,145.847379,1065659812,7.0
13,255000000,en,49.046956,89289910,5.9
14,225000000,en,99.398009,662845518,6.5
15,225000000,en,53.978602,419651413,6.3
16,220000000,en,144.448633,1519557910,7.4
17,380000000,en,135.413856,1045713802,6.4
18,225000000,en,52.035179,624026776,6.2
19,250000000,en,120.965743,956019788,7.1
20,215000000,en,89.866276,752215857,6.5
21,200000000,en,37.668301,310669540,6.2
22,250000000,en,94.370564,958400000,7.6
23,180000000,en,42.990906,372234864,5.8
24,207000000,en,61.22601,550000000,6.6
25,200000000,en,100.025899,1845034188,7.5
26,250000000,en,198.372395,1153304495,7.1
27,209000000,en,64.928382,303025485,5.5
28,150000000,en,418.708552,1513528810,6.5
29,200000000,en,93.004993,1108561013,6.9
30,200000000,en,35.149586,783766341,6.7
31,200000000,en,77.68208,1215439994,6.8
32,200000000,en,78.530105,1025491110,6.4
33,210000000,en,3.857526,459359555,6.3
34,200000000,en,89.186492,743559607,7.0
35,150000000,en,21.939663,836297228,6.0
36,210000000,en,116.840296,1091405097,5.8
37,200000000,en,46.985445,491868548,5.7
38,200000000,en,89.270217,705717432,6.5
39,170000000,en,73.79505,400062763,6.3
40,200000000,en,49.98659,559852396,5.8
41,200000000,en,51.872839,219851172,5.1
42,200000000,en,59.995418,1066969703,7.6
43,200000000,en,71.862892,371353001,5.9
44,190000000,en,102.322217,1506249360,7.3
45,200000000,en,81.834855,531865000,6.7
46,250000000,en,118.078691,747862775,7.5
47,190000000,en,78.291018,467365246,7.4
48,195000000,en,43.349855,197687603,5.5
49,105000000,en,61.196071,351040419,7.3
50,150000000,en,62.169881,335154643,6.2
51,180000000,en,56.523205,407602906,6.7
52,195000000,en,28.529607,1123746996,6.1
53,185000000,en,75.674458,786636033,5.7
54,175000000,en,51.692953,331926147,6.6
55,185000000,en,125.114374,538983207,6.7
56,185000000,en,65.352913,343471816,6.6
57,180000000,en,66.390712,521311860,7.8
58,140000000,en,22.57178,258022233,6.1
59,200000000,en,45.274225,769653595,5.6
60,200000000,en,39.744242,325233863,6.6
61,176000003,en,85.36908,183987723,5.2
62,180000000,en,42.741719,356743061,5.5
63,180000000,en,67.391328,748806957,6.7
64,178000000,en,139.272042,543934787,6.4
65,185000000,en,187.322927,1004558444,8.2
66,175000000,en,92.201962,735099082,7.7
67,175000000,en,36.167578,381509870,6.0
68,140000000,en,120.725053,585174222,7.4
69,170000000,en,32.319043,185770160,7.0
70,170000000,en,40.748915,222104681,5.1
71,145000000,en,60.034162,401128639,5.2
72,175000000,en,90.23792,745000000,5.9
73,175000000,en,27.082182,173000000,5.3
74,178000000,en,79.456485,370541256,7.6
75,175000000,en,44.640292,264218220,5.9
76,175000000,en,32.852443,302469017,5.6
77,175000000,en,128.655964,857611174,8.0
78,175000000,en,94.199316,966550600,6.7
79,200000000,en,77.300194,623933331,6.6
80,170000000,en,77.178973,396600000,5.8
81,180000000,en,110.620647,758539785,7.0
82,170000000,en,243.791743,710644566,7.3
83,27000000,en,2.418535,0,4.8
84,175000000,en,41.796339,150962475,5.9
85,170000000,en,72.225265,714766572,7.6
86,165000000,en,44.041186,752600867,6.0
87,190000000,en,130.311355,209154322,6.2
88,165000000,en,203.73459,652105443,7.8
89,165000000,en,62.341073,471222889,7.1
90,165000000,en,47.323228,305875730,6.4
91,165000000,en,48.775723,389681935,4.9
92,165000000,en,67.263269,494878759,7.5
93,200000000,en,69.405188,435000000,5.9
94,170000000,en,481.098624,773328629,7.9
95,165000000,en,724.247784,675120017,8.1
96,160000000,en,167.58371,825532764,8.1
97,15000000,ja,9.476999,77000000,6.5
98,250000000,en,108.849621,1021103568,7.0
99,38000000,en,6.909942,207283925,6.6
100,150000000,en,60.269279,333932083,7.3
101,160000000,en,3.195174,353624124,7.1
102,160000000,en,127.284427,653428261,6.6
103,150000000,en,35.580815,215283742,5.8
104,160000000,en,21.133748,181674817,5.5
105,170000000,en,56.268916,299370084,6.5
106,160000000,en,42.986467,798958165,6.0
107,160000000,en,63.148529,433677183,6.3
108,155000000,en,202.042635,440603537,5.8
109,155000000,en,49.661984,415686217,6.2
110,140000000,en,34.20669,449220945,6.6
111,150000000,en,25.468493,709709780,6.6
112,155000000,en,39.019229,167298192,5.6
113,150000000,en,78.144395,938212738,7.4
114,150000000,en,101.250416,895921036,7.5
115,150000000,en,56.758411,624029371,6.2
116,150000000,en,70.867401,585349010,6.9
117,150000000,en,53.905592,474968763,6.7
118,150000000,en,65.677399,623722818,7.5
119,150000000,en,115.040024,374218673,7.5
120,150000000,en,44.141021,603900354,6.2
121,150000000,en,81.781591,413106170,5.9
122,150000000,en,5.954334,373062864,6.2
123,150000000,en,73.313918,424988211,6.4
124,150000000,en,165.125366,1274219009,7.3
125,150000000,en,70.78591,738599701,6.7
126,170000000,en,99.499595,644571402,6.8
127,150000000,en,434.278564,378858340,7.2
128,150000000,en,67.447636,356613439,6.5
129,150000000,en,86.493424,449326618,6.6
130,150000000,en,41.845878,309979994,6.3
131,150000000,en,26.710398,292817841,5.1
132,150000000,en,44.927635,301000000,5.5
133,150000000,en,50.306728,245527149,5.7
134,150000000,en,114.522237,682330139,7.1
135,150000000,en,21.214571,0,5.5
136,150000000,en,29.332905,287594577,5.7
137,150000000,en,51.247321,665692281,6.7
138,150000000,en,33.769336,318502923,4.7
139,150000000,en,63.079003,397850012,6.5
140,150000000,en,39.004588,205366737,6.4
141,150000000,en,12.362599,38992758,5.5
142,149000000,en,22.550135,64459316,6.0
143,150000000,en,48.03528,128388320,5.9
144,145000000,en,38.73494,272912430,6.7
145,175000000,en,66.803149,497409852,6.9
146,145000000,en,44.989192,746921274,6.4
147,140000000,en,54.159392,431971116,5.8
148,144000000,en,66.21806,229147509,5.3
149,140000000,en,58.485967,553799566,6.4
150,140000000,en,91.332849,441818803,6.0
151,70000000,en,35.601665,195735876,5.5
152,145000000,en,56.747978,521170825,6.7
153,145000000,en,77.77477,694713380,6.8
154,145000000,en,61.788035,306941670,7.1
155,100000000,en,25.159168,202026112,5.9
156,140000000,en,52.341226,456758981,7.3
157,140000000,en,101.599427,268031828,5.6
158,150000000,en,73.616808,385680446,7.4
159,139000000,en,82.502566,821708551,6.8
160,145000000,en,100.21391,609123048,7.6
161,140000000,en,56.257249,150680864,5.3
162,135000000,en,17.88953,76932943,4.9
163,130000000,en,64.798873,185258983,7.0
